,title,year,time(min),genre,rating,metascore,simple_desc,votes,Gross (M$)
85,Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Sci-Fi",8.3,89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",1030931,34.4
86,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action, Adventure, Fantasy",8.3,58,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",1077097,309.13
87,2001: A Space Odyssey,1968,149,"Adventure, Sci-Fi",8.3,84,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",685085,56.95
88,A Clockwork Orange,1971,136,"Crime, Sci-Fi",8.3,77,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",847579,6.21
89,Full Metal Jacket,1987,116,"Drama, War",8.3,78,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,758435,46.36
90,Once Upon a Time in America,1984,229,"Crime, Drama",8.3,75,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",360170,5.32
91,Incendies,2010,131,"Drama, Mystery",8.3,80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,183919,6.86
92,Jagten,2012,115,Drama,8.3,77,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",341241,0.69
93,Braveheart,1995,178,"Biography, Drama, History",8.3,68,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1055408,75.6
94,Toy Story,1995,81,"Animation, Adventure, Comedy",8.3,96,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1017557,191.8
95,Reservoir Dogs,1992,99,"Crime, Thriller",8.3,81,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1042460,2.83
96,Hamilton,2020,160,"Biography, Drama, History",8.3,89,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",101302,10.0
97,Up,2009,96,"Animation, Adventure, Comedy",8.3,88,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",1068825,293.0
98,Le fabuleux destin d'Amélie Poulain,2001,122,"Comedy, Romance",8.3,69,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",769442,33.23
99,To Kill a Mockingbird,1962,129,"Crime, Drama",8.3,88,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.",322112,11.0
100,Mononoke-hime,1997,134,"Animation, Action, Adventure",8.3,76,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",406519,2.38
101,Lawrence of Arabia,1962,218,"Adventure, Biography, Drama",8.3,100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",300986,44.82
102,Toy Story 3,2010,103,"Animation, Adventure, Comedy",8.3,92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",854622,415.0
103,Citizen Kane,1941,119,"Drama, Mystery",8.3,100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",450510,1.59
104,Vertigo,1958,128,"Mystery, Romance, Thriller",8.3,100,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",410751,3.2
105,North by Northwest,1959,136,"Action, Adventure, Mystery",8.3,98,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",334459,13.28
106,Singin' in the Rain,1952,103,"Comedy, Musical, Romance",8.3,99,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,248862,8.82
107,Metropolis,1927,153,"Drama, Sci-Fi",8.3,98,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",178215,1.24
108,The Sting,1973,129,"Comedy, Crime, Drama",8.3,83,Two grifters team up to pull off the ultimate con.,269489,159.6
109,Jodaeiye Nader az Simin,2011,123,Drama,8.3,95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,249423,7.1
110,The Apartment,1960,125,"Comedy, Drama, Romance",8.3,94,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",186527,18.6
111,Judgment at Nuremberg,1961,179,"Drama, War",8.3,60,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",79913,13.0
112,Ikiru,1952,143,Drama,8.3,92,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,81773,0.06
113,Double Indemnity,1944,107,"Crime, Drama, Film-Noir",8.3,95,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",160786,5.72
114,Guardians of the Galaxy Vol. 3,2023,150,"Action, Adventure, Comedy",8.2,64,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",142170,15.0
115,Spider-Man: No Way Home,2021,148,"Action, Adventure, Fantasy",8.2,71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",796053,804.75
116,The Wolf of Wall Street,2013,180,"Biography, Comedy, Crime",8.2,75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",1462085,116.9
117,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi",8.2,68,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1013400,402.45
118,Taxi Driver,1976,114,"Crime, Drama",8.2,94,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",863480,28.26
119,Shutter Island,2010,138,"Mystery, Thriller",8.2,63,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",1360153,128.01
120,No Country for Old Men,2007,122,"Crime, Drama, Thriller",8.2,92,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,1001115,74.28
121,1917,2019,119,"Action, Drama, War",8.2,78,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",620440,159.23
122,The Father,I) (2020,97,"Drama, Mystery",8.2,88,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",168458,13.0
123,Snatch,2000,104,"Comedy, Crime",8.2,55,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",873730,30.33
124,Casino,1995,178,"Crime, Drama",8.2,73,"In Las Vegas, two best friends - a mafia enforcer and a casino executive - compete for a gambling empire and a fast-living, fast-loving socialite.",534469,42.44
125,A Beautiful Mind,2001,135,"Biography, Drama",8.2,72,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",950040,170.74
126,The Thing,1982,109,"Horror, Mystery, Sci-Fi",8.2,57,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,438354,13.78
127,Kill Bill: Vol. 1,2003,111,"Action, Crime, Drama",8.2,69,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",1140320,70.1
128,Indiana Jones and the Last Crusade,1989,127,"Action, Adventure",8.2,65,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",770780,197.17
